Kode,Nama Perusahaan
PLIN,Plaza Indonesia Realty Tbk.
PMJS,Putra Mandiri Jembar Tbk.
PMMP,Panca Mitra Multiperdana Tbk.
PNBN,Bank Pan Indonesia Tbk
PNBS,Bank Panin Dubai Syariah Tbk.
PNGO,Pinago Utama Tbk.
PNIN,Paninvest Tbk.
PNLF,Panin Financial Tbk.
PNSE,Pudjiadi & Sons Tbk.
POLA,Pool Advista Finance Tbk.
POLI,Pollux Hotels Group Tbk.
POLL,Pollux Properties Indonesia Tb
POLU,Golden Flower Tbk.
POLY,Asia Pacific Fibers Tbk
POOL,Pool Advista Indonesia Tbk.
PORT,Nusantara Pelabuhan Handal Tbk
POSA,Bliss Properti Indonesia Tbk.
POWR,Cikarang Listrindo Tbk.
PPGL,Prima Globalindo Logistik Tbk.
PPRE,PP Presisi Tbk.
PPRI,Paperocks Indonesia Tbk.
PPRO,PP Properti Tbk.
PRAS,Prima Alloy Steel Universal Tb
PRAY,Famon Awal Bros Sedaya Tbk.
PRDA,Prodia Widyahusada Tbk.
PRIM,Royal Prima Tbk.
PSAB,J Resources Asia Pasifik Tbk.
PSDN,Prasidha Aneka Niaga Tbk
PSGO,Palma Serasih Tbk.
PSKT,Red Planet Indonesia Tbk.
PSSI,IMC Pelita Logistik Tbk.
PTBA,Bukit Asam Tbk.
PTDU,Djasa Ubersakti Tbk.
PTIS,Indo Straits Tbk.
PTMP,Mitra Pack Tbk.
PTPP,PP (Persero) Tbk.
PTPS,Pulau Subur Tbk.
PTPW,Pratama Widya Tbk.
PTRO,Petrosea Tbk.
PTSN,Sat Nusapersada Tbk
PTSP,Pioneerindo Gourmet Internatio
PUDP,Pudjiadi Prestige Tbk.
PURA,Putra Rajawali Kencana Tbk.
PURE,Trinitan Metals and Minerals T
PURI,Puri Global Sukses Tbk.
PWON,Pakuwon Jati Tbk.
PYFA,Pyridam Farma Tbk
PZZA,Sarimelati Kencana Tbk.
RAAM,Tripar Multivision Plus Tbk.
RAFI,Sari Kreasi Boga Tbk.
RAJA,Rukun Raharja Tbk.
RALS,Ramayana Lestari Sentosa Tbk.
RANC,Supra Boga Lestari Tbk.
RBMS,Ristia Bintang Mahkotasejati T
RCCC,Utama Radar Cahaya Tbk.
RDTX,Roda Vivatex Tbk
REAL,Repower Asia Indonesia Tbk.
RELF,Graha Mitra Asia Tbk.
RELI,Reliance Sekuritas Indonesia T
RGAS,Kian Santang Muliatama Tbk.
RICY,Ricky Putra Globalindo Tbk
RIGS,Rig Tenders Indonesia Tbk.
RIMO,Rimo International Lestari Tbk
RISE,Jaya Sukses Makmur Sentosa Tbk
RMKE,RMK Energy Tbk.
RMKO,Royaltama Mulia Kontraktorindo
ROCK,Rockfields Properti Indonesia 
RODA,Pikko Land Development Tbk.
RONY,Aesler Grup Internasional Tbk.
ROTI,Nippon Indosari Corpindo Tbk.
RSCH,Charlie Hospital Semarang Tbk.
RSGK,Kedoya Adyaraya Tbk.
RUIS,Radiant Utama Interinsco Tbk.
RUNS,Global Sukses Solusi Tbk.
SAFE,Steady Safe Tbk
SAGE,Saptausaha Gemilangindah Tbk.
SAME,Sarana Meditama Metropolitan T
SAMF,Saraswanti Anugerah Makmur Tbk
SAPX,Satria Antaran Prima Tbk.
SATU,Kota Satu Properti Tbk.
SBAT,Sejahtera Bintang Abadi Textil
SBMA,Surya Biru Murni Acetylene Tbk
SCCO,Supreme Cable Manufacturing & 
SCMA,Surya Citra Media Tbk.
SCNP,Selaras Citra Nusantara Perkas
SCPI,Organon Pharma Indonesia Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon Internati
SDRA,Bank Woori Saudara Indonesia 1
SEMA,Semacom Integrated Tbk.
SFAN,Surya Fajar Capital Tbk.
SGER,Sumber Global Energy Tbk.
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International
SHIP,Sillo Maritime Perdana Tbk.
SICO,Sigma Energy Compressindo Tbk.
SIDO,Industri Jamu dan Farmasi Sido
SILO,Siloam International Hospitals
SIMA,Siwani Makmur Tbk
SIMP,Salim Ivomas Pratama Tbk.
SINI,Singaraja Putra Tbk.
SIPD,Sreeya Sewu Indonesia Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SKRN,Superkrane Mitra Utama Tbk.
SKYB,Northcliff Citranusa Indonesia
SLIS,Gaya Abadi Sempurna Tbk.
SMAR,Smart Tbk.
SMBR,Semen Baturaja Tbk.
SMCB,Solusi Bangun Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGA,Sumber Mineral Global Abadi Tb
SMGR,Semen Indonesia (Persero) Tbk.
SMIL,Sarana Mitra Luas Tbk.
SMKL,Satyamitra Kemas Lestari Tbk.
SMKM,Sumber Mas Konstruksi Tbk.
SMLE,Sinergi Multi Lestarindo Tbk.
SMMA,Sinarmas Multiartha Tbk.
SMMT,Golden Eagle Energy Tbk.
SMRA,Summarecon Agung Tbk.
SMRU,SMR Utama Tbk.
SMSM,Selamat Sempurna Tbk.
SNLK,Sunter Lakeside Hotel Tbk.
SOCI,Soechi Lines Tbk.
SOFA,Boston Furniture Industries Tb
SOHO,Soho Global Health Tbk.
SOLA,Xolare RCR Energy Tbk.
SONA,Sona Topas Tourism Industry Tb
SOSS,Shield On Service Tbk.
SOTS,Satria Mega Kencana Tbk.
SOUL,Mitra Tirta Buwana Tbk.
SPMA,Suparma Tbk.
SPTO,Surya Pertiwi Tbk.
SQMI,Wilton Makmur Indonesia Tbk.
SRAJ,Sejahteraraya Anugrahjaya Tbk.
SRIL,Sri Rejeki Isman Tbk.
SRSN,Indo Acidatama Tbk
SRTG,Saratoga Investama Sedaya Tbk.
SSIA,Surya Semesta Internusa Tbk.
SSMS,Sawit Sumbermas Sarana Tbk.
SSTM,Sunson Textile Manufacture Tbk
STAA,Sumber Tani Agung Resources Tb
STAR,Buana Artha Anugerah Tbk.
STRK,Lovina Beach Brewery Tbk.
STTP,Siantar Top Tbk.
SUGI,Sugih Energy Tbk.
SULI,SLJ Global Tbk.
SUNI,Sunindo Pratama Tbk.
SUPR,Solusi Tunas Pratama Tbk.
SURE,Super Energy Tbk.
SURI,Maja Agung Latexindo Tbk.
SWAT,Sriwahana Adityakarta Tbk.
SWID,Saraswanti Indoland Developmen
TALF,Tunas Alfin Tbk.
TAMA,Lancartama Sejati Tbk.
TAMU,Pelayaran Tamarin Samudra Tbk.
TAPG,Triputra Agro Persada Tbk.
TARA,Agung Semesta Sejahtera Tbk.
TAXI,Express Transindo Utama Tbk.
TAYS,Jaya Swarasa Agung Tbk.
TBIG,Tower Bersama Infrastructure T
TBLA,Tunas Baru Lampung Tbk.
TBMS,Tembaga Mulia Semanan Tbk.
TCID,Mandom Indonesia Tbk.
TCPI,Transcoal Pacific Tbk.
TDPM,Tianrong Chemicals Industry Tb
TEBE,Dana Brata Luhur Tbk.
TECH,Indosterling Technomedia Tbk.
TELE,Omni Inovasi Indonesia Tbk.
TFAS,Telefast Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TGRA,Terregra Asia Energy Tbk.
TGUK,Platinum Wahab Nusantara Tbk.
TIFA,KDB Tifa Finance Tbk.
TINS,Timah Tbk.
TIRA,Tira Austenite Tbk
TIRT,Tirta Mahakam Resources Tbk
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLDN,Teladan Prima Agro Tbk.
TLKM,Telkom Indonesia (Persero) Tbk
TMAS,Temas Tbk.
TMPO,Tempo Intimedia Tbk.
TNCA,Trimuda Nuansa Citra Tbk.
TOBA,TBS Energi Utama Tbk.
TOOL,Rohartindo Nusantara Luas Tbk.
TOPS,Totalindo Eka Persada Tbk.
TOSK,Topindo Solusi Komunika Tbk.
TOTL,Total Bangun Persada Tbk.
TOTO,Surya Toto Indonesia Tbk.
TOWR,Sarana Menara Nusantara Tbk.
TOYS,Sunindo Adipersada Tbk.
TPIA,Chandra Asri Pacific Tbk.
TPMA,Trans Power Marine Tbk.
TRAM,Trada Alam Minera Tbk.
TRGU,Cerestar Indonesia Tbk.
TRIL,Triwira Insanlestari Tbk.
TRIM,Trimegah Sekuritas Indonesia T
TRIN,Perintis Triniti Properti Tbk.
TRIO,Trikomsel Oke Tbk.
TRIS,Trisula International Tbk.
TRJA,Transkon Jaya Tbk.
TRON,Teknologi Karya Digital Nusa T
TRST,Trias Sentosa Tbk.
TRUE,Triniti Dinamik Tbk.
TRUK,Guna Timur Raya Tbk.
TRUS,Trust Finance Indonesia Tbk
TSPC,Tempo Scan Pacific Tbk.
TUGU,Asuransi Tugu Pratama Indonesi
TYRE,King Tire Indonesia Tbk.
UANG,Pakuan Tbk.
UCID,Uni-Charm Indonesia Tbk.
UDNG,Agro Bahari Nusantara Tbk.
UFOE,Damai Sejahtera Abadi Tbk.
ULTJ,Ultrajaya Milk Industry & Trad
UNIC,Unggul Indah Cahaya Tbk.
UNIQ,Ulima Nitra Tbk.
UNIT,Nusantara Inti Corpora Tbk
UNSP,Bakrie Sumatera Plantations Tb
UNTD,Terang Dunia Internusa Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
URBN,Urban Jakarta Propertindo Tbk.
UVCR,Trimegah Karya Pratama Tbk.
VAST,Vastland Indonesia Tbk.
VICI,Victoria Care Indonesia Tbk.
VICO,Victoria Investama Tbk.
VINS,Victoria Insurance Tbk.
VISI,Satu Visi Putra Tbk.
VIVA,Visi Media Asia Tbk.
VKTR,VKTR Teknologi Mobilitas Tbk.
VOKS,Voksel Electric Tbk.
VRNA,Mizuho Leasing Indonesia Tbk.
VTNY,Venteny Fortuna International 
WAPO,Wahana Pronatural Tbk.
WEGE,Wijaya Karya Bangunan Gedung T
WEHA,WEHA Transportasi Indonesia Tb
WGSH,Wira Global Solusi Tbk.
WICO,Wicaksana Overseas Internation
WIDI,Widiant Jaya Krenindo Tbk.
WIFI,Solusi Sinergi Digital Tbk.
WIIM,Wismilak Inti Makmur Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINE,Hatten Bali Tbk.
WINR,Winner Nusantara Jaya Tbk.
WINS,Wintermar Offshore Marine Tbk.
WIRG,WIR ASIA Tbk.
WMPP,Widodo Makmur Perkasa Tbk.
WMUU,Widodo Makmur Unggas Tbk.
WOMF,Wahana Ottomitra Multiartha Tb
WOOD,Integra Indocabinet Tbk.
WOWS,Ginting Jaya Energi Tbk.
WSBP,Waskita Beton Precast Tbk.
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YELO,Yelooo Integra Datanet Tbk.
YPAS,Yanaprima Hastapersada Tbk
YULE,Yulie Sekuritas Indonesia Tbk.
ZATA,Bersama Zatta Jaya Tbk.
ZBRA,Dosni Roha Indonesia Tbk.
ZINC,Kapuas Prima Coal Tbk.
ZONE,Mega Perintis Tbk.
ZYRX,Zyrexindo Mandiri Buana Tbk.
